810 S Main St,Baxley,Appling,"31.767425,-82.353494",12300
341 S Main St,Baxley,Appling,"31.773846,-82.350339",13800
61 N Main St,Baxley,Appling,"31.779420,-82.348340",14700
157 Blackshear Hwy,Baxley,Appling,"31.762394,-82.354235",11100
450 W Parker St,Baxley,Appling,"31.780829,-82.355952",13200
529 E Parker St,Baxley,Appling,"31.775726,-82.340068",10800
704 S Pierce St,Alma,Bacon,"31.536617,-82.463274",10100
172 S Pierce St,Alma,Bacon,"31.540948,-82.462379",12500
431 W Montgomery St,Milledgeville,Baldwin,"33.082872,-83.233844",10800
324 E Montgomery St,Milledgeville,Baldwin,"33.084557,-83.225054",11500
170 N Elbert St,Milledgeville,Baldwin,"33.082894,-83.223941",12100
599 E Hancock St,Milledgeville,Baldwin,"33.083009,-83.218107",15900
124 State Highway 22,Milledgeville,Baldwin,"33.085077,-83.208327",11200
725 N Columbia St,Milledgeville,Baldwin,"33.089090,-83.236256",11900
1643 N Columbia St,Milledgeville,Baldwin,"33.097919,-83.244663",28900
2405 N Columbia St,Milledgeville,Baldwin,"33.110120,-83.255660",36600
100 Long Leaf Trl NE,Milledgeville,Baldwin,"33.143595,-83.271648",21100
1358 W Hancock St,Milledgeville,Baldwin,"33.075618,-83.245762",11000
518 N Jefferson St,Milledgeville,Baldwin,"33.087484,-83.226956",19200
1154 N Jefferson St,Milledgeville,Baldwin,"33.096627,-83.229667",12000
1941 N Jefferson St,Milledgeville,Baldwin,"33.109599,-83.231813",12000
180 Roberson Mill Rd NE,Milledgeville,Baldwin,"33.100446,-83.259874",20000
561 US Highway 441,Milledgeville,Baldwin,"33.084823,-83.260886",15900
101 Pottery Factory Dr,Commerce,Banks,"34.250960,-83.461100",13200
20684 Highway 441 S,Commerce,Banks,"34.279330,-83.465300",13800
1445 Highway 441,Baldwin,Banks,"34.426070,-83.498700",10100
Highway 441,Baldwin,Banks,"34.477650,-83.517460",10000
Homer Rd,Baldwin,Banks,"34.488710,-83.532560",11000
1747 Atlanta Hwy NW,Auburn,Barrow,"34.007712,-83.857306",11900
1610 Atlanta Hwy NW,Auburn,Barrow,"34.011222,-83.843995",18000
