Location,AADT (2018)
"36.118381, -84.117474",25158
"36.089705, -84.142995",18569
"36.084924, -84.129243",21763
"36.048395, -84.117036",14912
"36.038755, -84.107014",16370
"36.037481, -84.120444",15200
"36.017025, -84.167139",15109
"36.047462, -84.207528",18929
"36.019468, -84.287306",19220
"36.036713, -84.332693",19509
"36.007718, -84.275694",24351
"36.00736, -84.260364",29057
"35.987839, -84.210593",36822
"36.101861, -84.132565",10795
"36.032863, -84.226492",21954
"36.01332, -84.240376",18729
"36.014617, -84.249751",10315
"35.991872, -84.319904",15759
"36.142387, -84.049092",38698
"36.133472, -84.1091",27025
"35.989627, -84.217854",33680
"35.996328, -84.237771",11065
"36.22341, -84.156935",10906
"36.022661, -84.244706",26254
"36.016653, -84.2411",12576
"36.097413, -84.133229",23145
"36.170172, -84.076098",20871
"36.164151, -84.085444",26266
"35.609197, -86.435002",19137
"35.485196, -86.429337",13557
"35.511197, -86.456089",23557
"35.502741, -86.482316",10565
"35.471741, -86.389006",10049
"35.481954, -86.463502",18052
"35.489041, -86.46939",10878
"35.492129, -86.458657",23121
"35.488222, -86.459166",15728
"35.488634, -86.456344",15867
"35.495945, -86.459509",10237
"35.485242, -86.461879",11931
"35.485432, -86.463881",11201
"35.54628, -86.450161",19834
"35.640385, -86.427235",17400
"36.056757, -88.114527",10783
"35.857111, -88.055056",32602
"36.076474, -88.112204",10765
"35.800544, -83.943854",18016
"35.780358, -83.9502",13596
"35.782987, -83.985595",19128
"35.747011, -84.001339",11849
"35.762743, -83.945953",11611
"35.755138, -83.951197",25187
"35.759017, -83.869313",13242
"35.735922, -83.992447",38021
"35.690358, -84.053369",18036
"35.703927, -84.035682",26091
"35.744638, -83.993641",31522
"35.744777, -83.983856",18533
"35.751488, -83.985645",23261
"35.753021, -83.974226",11476
"35.748305, -83.971118",11334
"35.761384, -83.967968",27742
"35.757257, -83.973027",12269
"35.759301, -83.966216",25109
"35.768771, -83.987599",37899
"35.779146, -83.997624",10022
"35.753453, -84.009607",28120
"35.756529, -84.085533",13202
"35.752303, -84.141596",11769
