City,State,Company
Atlanta,GA,Life Storage
Austell,GA,Life Storage
Cumming,GA,Life Storage
Chamblee,GA,Life Storage
College Park,GA,Life Storage
Decatur,GA,Life Storage
Doraville,GA,Life Storage
Dunwoody,GA,Life Storage
Fayetteville,GA,Life Storage
Hapeville,GA,Life Storage
Jonesboro,GA,Life Storage
Kennesaw,GA,Life Storage
Lawrenceville,GA,Life Storage
Lithonia,GA,Life Storage
Mableton,GA,Life Storage
Marietta,GA,Life Storage
Norcross,GA,Life Storage
Peachtree City,GA,Life Storage
Peachtree Corners,GA,Life Storage
Riverdale,GA,Life Storage
Smyrna,GA,Life Storage
Stone Mountain,GA,Life Storage
Woodstock,GA,Life Storage
Fort Oglethorpe,GA,Life Storage
Columbus,GA,Life Storage
Savannah,GA,Life Storage
Warner Robbins,GA,Life Storage
East Point,GA,Life Storage
